index,account_id,district_id,frequency,parseddate,year,month,day
134,A00000813,16,Monthly Issuance,2013-02-10,2013,2,10
135,A00002585,75,Monthly Issuance,2013-02-10,2013,2,10
136,A00002220,16,Monthly Issuance,2013-02-10,2013,2,10
137,A00002763,64,Monthly Issuance,2013-02-11,2013,2,11
138,A00002342,51,Monthly Issuance,2013-02-11,2013,2,11
139,A00001944,72,Monthly Issuance,2013-02-12,2013,2,12
140,A00001966,27,Monthly Issuance,2013-02-12,2013,2,12
141,A00001801,46,Monthly Issuance,2013-02-13,2013,2,13
142,A00002543,68,Monthly Issuance,2013-02-13,2013,2,13
143,A00002293,31,Monthly Issuance,2013-02-13,2013,2,13
144,A00011013,1,Weekly Issuance,2013-02-14,2013,2,14
145,A00002423,30,Monthly Issuance,2013-02-14,2013,2,14
146,A00000142,51,Monthly Issuance,2013-02-15,2013,2,15
147,A00003424,74,Monthly Issuance,2013-02-16,2013,2,16
148,A00000539,13,Issuance After Transaction,2013-02-16,2013,2,16
149,A00000979,21,Monthly Issuance,2013-02-16,2013,2,16
150,A00003554,66,Monthly Issuance,2013-02-16,2013,2,16
151,A00003545,51,Monthly Issuance,2013-02-17,2013,2,17
152,A00003047,16,Monthly Issuance,2013-02-17,2013,2,17
153,A00003374,21,Monthly Issuance,2013-02-17,2013,2,17
154,A00000096,68,Monthly Issuance,2013-02-18,2013,2,18
155,A00000461,30,Monthly Issuance,2013-02-18,2013,2,18
156,A00003593,1,Monthly Issuance,2013-02-18,2013,2,18
157,A00003026,24,Monthly Issuance,2013-02-18,2013,2,18
158,A00001054,10,Monthly Issuance,2013-02-19,2013,2,19
159,A00002433,71,Monthly Issuance,2013-02-19,2013,2,19
160,A00003691,50,Monthly Issuance,2013-02-19,2013,2,19
161,A00003787,70,Monthly Issuance,2013-02-19,2013,2,19
162,A00000128,2,Monthly Issuance,2013-02-19,2013,2,19
163,A00003168,39,Monthly Issuance,2013-02-20,2013,2,20
164,A00004937,12,Monthly Issuance,2013-02-20,2013,2,20
165,A00002124,69,Monthly Issuance,2013-02-20,2013,2,20
166,A00000322,1,Monthly Issuance,2013-02-20,2013,2,20
167,A00004355,31,Monthly Issuance,2013-02-21,2013,2,21
168,A00001678,1,Monthly Issuance,2013-02-22,2013,2,22
169,A00002396,2,Monthly Issuance,2013-02-22,2013,2,22
170,A00001005,54,Weekly Issuance,2013-02-23,2013,2,23
171,A00000697,28,Monthly Issuance,2013-02-23,2013,2,23
172,A00000925,59,Monthly Issuance,2013-02-23,2013,2,23
173,A00002110,64,Monthly Issuance,2013-02-23,2013,2,23
174,A00001366,60,Monthly Issuance,2013-02-24,2013,2,24
175,A00001050,57,Issuance After Transaction,2013-02-24,2013,2,24
176,A00003117,33,Monthly Issuance,2013-02-24,2013,2,24
177,A00000562,50,Monthly Issuance,2013-02-25,2013,2,25
178,A00005369,54,Monthly Issuance,2013-02-25,2013,2,25
179,A00002242,7,Weekly Issuance,2013-02-25,2013,2,25
180,A00000197,1,Monthly Issuance,2013-02-25,2013,2,25
181,A00000496,69,Monthly Issuance,2013-02-26,2013,2,26
182,A00000002,1,Monthly Issuance,2013-02-26,2013,2,26
183,A00007401,1,Monthly Issuance,2013-02-26,2013,2,26
184,A00002486,1,Monthly Issuance,2013-02-27,2013,2,27
185,A00000428,1,Monthly Issuance,2013-02-27,2013,2,27
186,A00003651,23,Monthly Issuance,2013-02-27,2013,2,27
187,A00001775,17,Monthly Issuance,2013-02-27,2013,2,27
188,A00001688,70,Monthly Issuance,2013-02-27,2013,2,27
189,A00000361,51,Monthly Issuance,2013-02-27,2013,2,27
190,A00001829,43,Monthly Issuance,2013-02-27,2013,2,27
191,A00001575,1,Monthly Issuance,2013-02-27,2013,2,27
192,A00009203,70,Monthly Issuance,2013-02-27,2013,2,27
193,A00003008,72,Monthly Issuance,2013-02-27,2013,2,27
194,A00000239,69,Weekly Issuance,2013-03-01,2013,3,1
195,A00003302,21,Monthly Issuance,2013-03-02,2013,3,2
196,A00000415,25,Monthly Issuance,2013-03-03,2013,3,3
197,A00003513,20,Monthly Issuance,2013-03-03,2013,3,3
198,A00004134,7,Monthly Issuance,2013-03-03,2013,3,3
199,A00001077,14,Monthly Issuance,2013-03-03,2013,3,3
200,A00001713,43,Monthly Issuance,2013-03-03,2013,3,3
201,A00001378,59,Monthly Issuance,2013-03-04,2013,3,4
202,A00002503,1,Monthly Issuance,2013-03-05,2013,3,5
203,A00000559,46,Monthly Issuance,2013-03-05,2013,3,5
204,A00006555,38,Weekly Issuance,2013-03-05,2013,3,5
205,A00000744,42,Monthly Issuance,2013-03-06,2013,3,6
206,A00000882,9,Monthly Issuance,2013-03-06,2013,3,6
207,A00000086,54,Monthly Issuance,2013-03-07,2013,3,7
208,A00001126,56,Monthly Issuance,2013-03-08,2013,3,8
209,A00002666,49,Monthly Issuance,2013-03-08,2013,3,8
210,A00000944,70,Monthly Issuance,2013-03-08,2013,3,8
211,A00001545,1,Monthly Issuance,2013-03-08,2013,3,8
212,A00002453,1,Monthly Issuance,2013-03-08,2013,3,8
213,A00003734,43,Monthly Issuance,2013-03-08,2013,3,8
214,A00003935,23,Monthly Issuance,2013-03-08,2013,3,8
215,A00000396,21,Monthly Issuance,2013-03-08,2013,3,8
216,A00002694,7,Monthly Issuance,2013-03-08,2013,3,8
217,A00004596,74,Monthly Issuance,2013-03-09,2013,3,9
218,A00002489,72,Monthly Issuance,2013-03-09,2013,3,9
219,A00002895,19,Monthly Issuance,2013-03-09,2013,3,9
220,A00000317,76,Monthly Issuance,2013-03-10,2013,3,10
221,A00002555,53,Monthly Issuance,2013-03-10,2013,3,10
222,A00000494,60,Monthly Issuance,2013-03-11,2013,3,11
223,A00002219,60,Monthly Issuance,2013-03-11,2013,3,11
224,A00002581,72,Monthly Issuance,2013-03-11,2013,3,11
225,A00000112,6,Monthly Issuance,2013-03-12,2013,3,12
226,A00003674,38,Monthly Issuance,2013-03-12,2013,3,12
227,A00002039,44,Monthly Issuance,2013-03-12,2013,3,12
228,A00002712,9,Monthly Issuance,2013-03-12,2013,3,12
229,A00000395,1,Monthly Issuance,2013-03-12,2013,3,12
230,A00002974,9,Monthly Issuance,2013-03-13,2013,3,13
231,A00000123,21,Monthly Issuance,2013-03-13,2013,3,13
232,A00009640,1,Monthly Issuance,2013-03-13,2013,3,13
233,A00003108,53,Monthly Issuance,2013-03-14,2013,3,14
234,A00002508,34,Monthly Issuance,2013-03-14,2013,3,14
235,A00002458,40,Weekly Issuance,2013-03-14,2013,3,14
236,A00000588,66,Monthly Issuance,2013-03-14,2013,3,14
237,A00007231,10,Monthly Issuance,2013-03-14,2013,3,14
238,A00006701,49,Weekly Issuance,2013-03-15,2013,3,15
239,A00003883,72,Monthly Issuance,2013-03-15,2013,3,15
240,A00000222,37,Monthly Issuance,2013-03-15,2013,3,15
241,A00002497,65,Monthly Issuance,2013-03-16,2013,3,16
242,A00001372,1,Monthly Issuance,2013-03-16,2013,3,16
243,A00003835,50,Monthly Issuance,2013-03-16,2013,3,16
244,A00007445,64,Monthly Issuance,2013-03-18,2013,3,18
245,A00002527,38,Monthly Issuance,2013-03-19,2013,3,19
246,A00000425,9,Monthly Issuance,2013-03-19,2013,3,19
247,A00000860,1,Monthly Issuance,2013-03-19,2013,3,19
248,A00006034,6,Weekly Issuance,2013-03-19,2013,3,19
249,A00011065,11,Monthly Issuance,2013-03-19,2013,3,19
250,A00009883,1,Monthly Issuance,2013-03-19,2013,3,19
251,A00000115,68,Monthly Issuance,2013-03-19,2013,3,19
252,A00001189,59,Monthly Issuance,2013-03-19,2013,3,19
253,A00003675,64,Monthly Issuance,2013-03-20,2013,3,20
254,A00003069,66,Monthly Issuance,2013-03-20,2013,3,20
255,A00002762,19,Monthly Issuance,2013-03-20,2013,3,20
256,A00000892,70,Monthly Issuance,2013-03-20,2013,3,20
257,A00001535,46,Monthly Issuance,2013-03-20,2013,3,20
258,A00002618,60,Monthly Issuance,2013-03-21,2013,3,21
259,A00002651,2,Monthly Issuance,2013-03-21,2013,3,21
260,A00005442,34,Monthly Issuance,2013-03-22,2013,3,22
261,A00001787,30,Weekly Issuance,2013-03-22,2013,3,22
262,A00001397,17,Monthly Issuance,2013-03-22,2013,3,22
263,A00003785,10,Monthly Issuance,2013-03-24,2013,3,24
264,A00000623,1,Monthly Issuance,2013-03-24,2013,3,24
265,A00008260,31,Monthly Issuance,2013-03-24,2013,3,24
266,A00003678,1,Monthly Issuance,2013-03-24,2013,3,24
267,A00003001,1,Monthly Issuance,2013-03-24,2013,3,24
268,A00000655,53,Monthly Issuance,2013-03-24,2013,3,24
269,A00004093,1,Monthly Issuance,2013-03-25,2013,3,25
270,A00003260,68,Monthly Issuance,2013-03-25,2013,3,25
271,A00002528,65,Monthly Issuance,2013-03-25,2013,3,25
272,A00002011,75,Monthly Issuance,2013-03-25,2013,3,25
273,A00001721,68,Monthly Issuance,2013-03-25,2013,3,25
274,A00001332,59,Monthly Issuance,2013-03-25,2013,3,25
275,A00001402,74,Monthly Issuance,2013-03-26,2013,3,26
276,A00003283,68,Monthly Issuance,2013-03-26,2013,3,26
277,A00003781,31,Monthly Issuance,2013-03-26,2013,3,26
278,A00007203,71,Monthly Issuance,2013-03-26,2013,3,26
279,A00001065,72,Monthly Issuance,2013-03-27,2013,3,27
280,A00003076,54,Monthly Issuance,2013-03-27,2013,3,27
281,A00004347,1,Monthly Issuance,2013-03-27,2013,3,27
282,A00001157,7,Monthly Issuance,2013-03-27,2013,3,27
283,A00009403,1,Weekly Issuance,2013-03-27,2013,3,27
284,A00001874,9,Monthly Issuance,2013-03-27,2013,3,27
285,A00001115,34,Monthly Issuance,2013-03-27,2013,3,27
286,A00003586,59,Monthly Issuance,2013-03-27,2013,3,27
287,A00000062,47,Monthly Issuance,2013-03-28,2013,3,28
288,A00001771,69,Monthly Issuance,2013-03-28,2013,3,28
289,A00005483,13,Monthly Issuance,2013-03-28,2013,3,28
290,A00008330,48,Monthly Issuance,2013-03-28,2013,3,28
291,A00000187,5,Monthly Issuance,2013-03-28,2013,3,28
292,A00000423,12,Monthly Issuance,2013-03-28,2013,3,28
293,A00006425,31,Monthly Issuance,2013-03-29,2013,3,29
294,A00002493,62,Monthly Issuance,2013-03-29,2013,3,29
295,A00002896,29,Monthly Issuance,2013-03-30,2013,3,30
296,A00002245,29,Monthly Issuance,2013-03-30,2013,3,30
297,A00003923,52,Monthly Issuance,2013-03-30,2013,3,30
298,A00001898,70,Monthly Issuance,2013-04-01,2013,4,1
299,A00003367,1,Monthly Issuance,2013-04-01,2013,4,1
300,A00003391,74,Monthly Issuance,2013-04-01,2013,4,1
301,A00008519,23,Monthly Issuance,2013-04-02,2013,4,2
302,A00001780,1,Monthly Issuance,2013-04-02,2013,4,2
303,A00003915,65,Monthly Issuance,2013-04-02,2013,4,2
304,A00003980,75,Monthly Issuance,2013-04-03,2013,4,3
305,A00004350,63,Monthly Issuance,2013-04-04,2013,4,4
306,A00000686,41,Monthly Issuance,2013-04-04,2013,4,4
307,A00000362,15,Monthly Issuance,2013-04-04,2013,4,4
308,A00000299,77,Monthly Issuance,2013-04-05,2013,4,5
309,A00002488,5,Monthly Issuance,2013-04-06,2013,4,6
310,A00002985,71,Monthly Issuance,2013-04-06,2013,4,6
311,A00000385,5,Monthly Issuance,2013-04-07,2013,4,7
312,A00002817,56,Monthly Issuance,2013-04-07,2013,4,7
313,A00002056,58,Monthly Issuance,2013-04-07,2013,4,7
314,A00002002,1,Monthly Issuance,2013-04-08,2013,4,8
315,A00000748,10,Monthly Issuance,2013-04-08,2013,4,8
316,A00000220,72,Monthly Issuance,2013-04-09,2013,4,9
317,A00001422,68,Monthly Issuance,2013-04-09,2013,4,9
318,A00001147,44,Monthly Issuance,2013-04-10,2013,4,10
319,A00003788,70,Monthly Issuance,2013-04-10,2013,4,10
320,A00001891,32,Monthly Issuance,2013-04-10,2013,4,10
321,A00001239,1,Monthly Issuance,2013-04-10,2013,4,10
322,A00008321,77,Monthly Issuance,2013-04-12,2013,4,12
323,A00003213,51,Monthly Issuance,2013-04-12,2013,4,12
324,A00002838,3,Weekly Issuance,2013-04-13,2013,4,13
325,A00003644,38,Monthly Issuance,2013-04-13,2013,4,13
326,A00004318,33,Weekly Issuance,2013-04-13,2013,4,13
327,A00002648,51,Monthly Issuance,2013-04-13,2013,4,13
328,A00002313,26,Weekly Issuance,2013-04-13,2013,4,13
329,A00005428,24,Monthly Issuance,2013-04-14,2013,4,14
330,A00007123,64,Issuance After Transaction,2013-04-14,2013,4,14
331,A00000279,39,Monthly Issuance,2013-04-14,2013,4,14
332,A00000104,37,Monthly Issuance,2013-04-15,2013,4,15
333,A00000497,55,Monthly Issuance,2013-04-15,2013,4,15
334,A00001152,45,Monthly Issuance,2013-04-15,2013,4,15
335,A00000083,26,Monthly Issuance,2013-04-16,2013,4,16
336,A00002008,52,Monthly Issuance,2013-04-16,2013,4,16
337,A00003327,45,Monthly Issuance,2013-04-16,2013,4,16
338,A00005740,43,Monthly Issuance,2013-04-16,2013,4,16
339,A00008132,5,Weekly Issuance,2013-04-17,2013,4,17
340,A00010738,45,Weekly Issuance,2013-04-17,2013,4,17
341,A00002216,74,Monthly Issuance,2013-04-17,2013,4,17
342,A00001815,66,Monthly Issuance,2013-04-17,2013,4,17
343,A00002823,57,Monthly Issuance,2013-04-18,2013,4,18
344,A00004321,47,Monthly Issuance,2013-04-18,2013,4,18
345,A00001773,33,Monthly Issuance,2013-04-19,2013,4,19
346,A00007454,4,Monthly Issuance,2013-04-19,2013,4,19
347,A00000188,54,Monthly Issuance,2013-04-20,2013,4,20
348,A00010973,18,Weekly Issuance,2013-04-20,2013,4,20
349,A00002599,48,Monthly Issuance,2013-04-20,2013,4,20
350,A00001166,11,Monthly Issuance,2013-04-21,2013,4,21
351,A00000504,73,Monthly Issuance,2013-04-21,2013,4,21
352,A00001518,67,Monthly Issuance,2013-04-21,2013,4,21
353,A00002189,75,Monthly Issuance,2013-04-22,2013,4,22
354,A00006040,1,Monthly Issuance,2013-04-22,2013,4,22
355,A00002876,52,Monthly Issuance,2013-04-22,2013,4,22
356,A00001505,69,Monthly Issuance,2013-04-23,2013,4,23
357,A00006897,48,Monthly Issuance,2013-04-23,2013,4,23
358,A00004377,28,Monthly Issuance,2013-04-24,2013,4,24
359,A00000717,75,Monthly Issuance,2013-04-24,2013,4,24
360,A00009707,70,Monthly Issuance,2013-04-24,2013,4,24
361,A00002814,72,Monthly Issuance,2013-04-25,2013,4,25
362,A00003068,59,Monthly Issuance,2013-04-25,2013,4,25
363,A00001476,61,Monthly Issuance,2013-04-26,2013,4,26
364,A00000897,38,Monthly Issuance,2013-04-26,2013,4,26
365,A00000977,1,Monthly Issuance,2013-04-26,2013,4,26
366,A00002639,17,Monthly Issuance,2013-04-26,2013,4,26
367,A00001032,11,Monthly Issuance,2013-04-26,2013,4,26
368,A00000928,20,Monthly Issuance,2013-04-26,2013,4,26
369,A00000168,31,Monthly Issuance,2013-04-27,2013,4,27
370,A00002175,1,Monthly Issuance,2013-04-27,2013,4,27
371,A00010105,55,Monthly Issuance,2013-04-28,2013,4,28
372,A00001392,60,Monthly Issuance,2013-04-28,2013,4,28
373,A00003697,45,Monthly Issuance,2013-04-29,2013,4,29
374,A00005313,40,Monthly Issuance,2013-04-29,2013,4,29
375,A00002222,47,Monthly Issuance,2013-05-01,2013,5,1
376,A00002641,7,Monthly Issuance,2013-05-02,2013,5,2
377,A00005423,15,Monthly Issuance,2013-05-02,2013,5,2
378,A00002609,73,Monthly Issuance,2013-05-03,2013,5,3
379,A00005472,1,Monthly Issuance,2013-05-04,2013,5,4
380,A00002932,72,Monthly Issuance,2013-05-04,2013,5,4
381,A00004254,70,Monthly Issuance,2013-05-04,2013,5,4
382,A00003965,31,Monthly Issuance,2013-05-04,2013,5,4
383,A00010656,8,Monthly Issuance,2013-05-05,2013,5,5
384,A00000887,1,Monthly Issuance,2013-05-05,2013,5,5
385,A00004743,64,Monthly Issuance,2013-05-05,2013,5,5
386,A00001048,35,Monthly Issuance,2013-05-05,2013,5,5
387,A00001671,6,Monthly Issuance,2013-05-05,2013,5,5
388,A00001236,19,Monthly Issuance,2013-05-05,2013,5,5
389,A00001822,30,Monthly Issuance,2013-05-05,2013,5,5
390,A00003316,28,Monthly Issuance,2013-05-06,2013,5,6
391,A00002037,20,Monthly Issuance,2013-05-06,2013,5,6
392,A00010079,62,Monthly Issuance,2013-05-06,2013,5,6
393,A00003999,35,Monthly Issuance,2013-05-06,2013,5,6
394,A00000551,77,Monthly Issuance,2013-05-07,2013,5,7
395,A00001200,33,Monthly Issuance,2013-05-07,2013,5,7
396,A00001161,66,Monthly Issuance,2013-05-08,2013,5,8
397,A00005372,48,Monthly Issuance,2013-05-08,2013,5,8
398,A00003050,60,Monthly Issuance,2013-05-08,2013,5,8
399,A00001784,59,Monthly Issuance,2013-05-08,2013,5,8
400,A00001603,1,Monthly Issuance,2013-05-09,2013,5,9
401,A00001887,68,Monthly Issuance,2013-05-09,2013,5,9
402,A00001644,1,Monthly Issuance,2013-05-09,2013,5,9
403,A00001658,73,Monthly Issuance,2013-05-10,2013,5,10
404,A00000044,32,Monthly Issuance,2013-05-10,2013,5,10
405,A00001039,70,Weekly Issuance,2013-05-10,2013,5,10
406,A00001071,68,Weekly Issuance,2013-05-10,2013,5,10
407,A00002410,54,Monthly Issuance,2013-05-11,2013,5,11
408,A00002523,10,Monthly Issuance,2013-05-11,2013,5,11
409,A00000790,54,Monthly Issuance,2013-05-11,2013,5,11
410,A00002583,62,Monthly Issuance,2013-05-11,2013,5,11
411,A00001782,8,Monthly Issuance,2013-05-12,2013,5,12
412,A00000751,3,Monthly Issuance,2013-05-12,2013,5,12
413,A00002061,24,Monthly Issuance,2013-05-12,2013,5,12
414,A00008261,13,Monthly Issuance,2013-05-12,2013,5,12
415,A00002321,35,Monthly Issuance,2013-05-13,2013,5,13
416,A00001334,74,Monthly Issuance,2013-05-14,2013,5,14
417,A00003649,54,Monthly Issuance,2013-05-14,2013,5,14
418,A00000555,24,Monthly Issuance,2013-05-15,2013,5,15
419,A00003173,39,Monthly Issuance,2013-05-15,2013,5,15
420,A00000863,71,Monthly Issuance,2013-05-16,2013,5,16
421,A00003181,42,Monthly Issuance,2013-05-16,2013,5,16
422,A00003210,1,Monthly Issuance,2013-05-17,2013,5,17
423,A00000489,16,Monthly Issuance,2013-05-17,2013,5,17
424,A00000947,59,Monthly Issuance,2013-05-17,2013,5,17
425,A00003284,64,Monthly Issuance,2013-05-17,2013,5,17
426,A00001610,52,Monthly Issuance,2013-05-17,2013,5,17
427,A00004225,55,Monthly Issuance,2013-05-18,2013,5,18
428,A00001412,64,Monthly Issuance,2013-05-18,2013,5,18
429,A00001937,36,Monthly Issuance,2013-05-18,2013,5,18
430,A00000991,39,Monthly Issuance,2013-05-18,2013,5,18
431,A00001180,20,Monthly Issuance,2013-05-19,2013,5,19
432,A00002758,70,Monthly Issuance,2013-05-19,2013,5,19
433,A00002711,58,Monthly Issuance,2013-05-19,2013,5,19
434,A00001652,74,Monthly Issuance,2013-05-20,2013,5,20
